titles,authors,years,ncitedby,linkfiles
Mining and Analysis,"A Guille, C Favre, H Hacid, D Zighed",2013,1,https://hal.science/docs/00/80/43/01/PDF/sigde469-guille.pdf
A Study of Sentimental Value Analysis for Tweeting Message,"S Doi, S Hara, Y Imai, T Hattori, Y Kawakami",2017,36,http://alife-robotics.co.jp/homepage2018/members2017/icarob/data/html/data/OS_pdf/OS19/OS19-4.pdf
Analysis of data mining techniques and its applications,"FZ Maksood, G Achuthan",2016,1,https://www.academia.edu/download/45356729/maksood-2016-ijca-909249.pdf
Harnessing Sentiments towards Man-Made Disasters A Sentiment and Opinion Mining Analysis,NFB Casillano,NA,2,http://www.ijcse.net/docs/IJCSE18-07-04-002.pdf
A Framework for Social Media Data Mining and Analysis to Product and Service Development-Case of The Zimbabwean National Art Gallery,"K Kwenda, N Sarai, TG Zhou",2021,NA,https://www.academia.edu/download/81177551/CSEIT217121.pdf
Data Mining and Social Network Analysis in the Field of Education,"MV Tomar, MT Sharma",NA,NA,https://msi-ggsip.org/wp-content/uploads/2016/06/MSI-Book-Dr-Anviti-Rawat-Dr-Promila-Dabas.pdf#page=133
Mining User-aware Rare STPs and Frequent Events from Social media,"SA KP, F Ahammed",NA,NA,https://www.academia.edu/download/52965350/IJCST-V5I2P88.pdf
Sentiment knowledge discovery using machine learning algorithms,"S Bhatia, M Sharma, KK Bhatia",2015,NA,https://www.researchgate.net/profile/Surbhi-Bhatia/publication/305655669_Sentiment_Knowledge_Discovery_using_Machine_Learning_Algorithms/links/5b3312b5a6fdcc8506d12f09/Sentiment-Knowledge-Discovery-using-Machine-Learning-Algorithms.pdf
Security Intelligence Data Mining,"D Rusu, NP Triantafyllidis, J Kremers",2015,18,https://www.os3.nl/_media/2014-2015/courses/rp1/p09_report.pdf
"The Challenges, Opportunities and Difficulties in Big Data Mining","T Singh, A Ranjan",2022,39,https://theijire.com/assets/pdf/archives/1658225922_0c6ca957dcf4f293494b.pdf
The role of Twitter in B2B knowledge exchange and innovation,"H Cripps, T Mejtoft, AK Singh",2016,50,https://www.researchgate.net/profile/Anna-Dziadkiewicz/publication/306221743_Enablers_and_Barriers_of_Knowledge_Transfer_in_selected_EU_Countries_as_Viewed_by_IT_enterprises/links/57b3873c08ae030fe246d69c/Enablers-and-Barriers-of-Knowledge-Transfer-in-selected-EU-Countries-as-Viewed-by-IT-enterprises.pdf#page=29
Application of social network analysis to the investigation of interpersonal connections,M Mincer…,2012,4,https://bibliotekanauki.pl/articles/309185.pdf
Visualizing big data: Social network analysis,M Lieberman,2014,14,https://www.mvsolution.com/wp-content/uploads/Visualizing-Big-Data-Social-Network-Analysis-Paper-by-Michael-Lieberman.pdf
Who needs polls? Gauging public opinion from Twitter data,"D Cummings, H Oh, N Wang",2010,NA,http://nlp.stanford.edu/courses/cs224n/2011/reports/nwang6-davidjc-harukioh.pdf
Veri madenciliği yöntemleri ile Twitter üzerinden MBTI kişilik tipi analizi,"K Bastem, ŞE Şeker",2017,NA,https://ybsansiklopedi.com/wp-content/uploads/2017/07/mbti_twitterv3.pdf
¿ Qué se escribe respecto al marxismo en redes sociales? Análisis de patrones de texto a través de Twitter por medio de Data Mining.,A Olguın,NA,2,http://pfigshare-u-files.s3.amazonaws.com/2281393/Quseescriberespectoalmarxismoenredessociales.pdf
Analiza wpisów na portalu Twitter z wykorzystaniem narzędzi big data zawartych w pakiecie R,A Kisiołek,2018,2,https://bibliotekanauki.pl/articles/591261.pdf
… Di Media Sosial Twitter Museum Di Indonesia Menggunakan Metode Network Text Analysis Analysis of Conversation in Social Media Twitter of Museum in,"MA Yudhistira, A Alamsyah",2017,11,https://www.academia.edu/download/80218853/8998.pdf
МОЖЛИВОСТІ ВИКОРИСТАННЯ ТЕХНОЛОГІЙ DATA MINING ПРИ СТВОРЕННІ БІЗНЕС ПРОЕКТУ,ЄО Бондар,2019,5,http://nubip.edu.ua/sites/default/files/zbirnik_10.pdf#page=46
ANALISIS TEXT MINING TERHADAP BPS (BADAN PUSAT STATISTIK) DI TWITTER MENGGUNAKAN R,"Z Musyarof, S Stat",NA,1,https://www.researchgate.net/profile/Zaky-Musyarof/publication/334413557_Analisis_Text_Mining_terhadap_BPS_di_Twitter_Menggunakan_R/links/5d27ed88299bf1547cad352c/Analisis-Text-Mining-terhadap-BPS-di-Twitter-Menggunakan-R.pdf
Explorando Twitter mediante la integración de información estructurada y no estructurada,"JM Cotelo, F Cruz, FJ Ortega, JA Troyano",2015,105,https://www.redalyc.org/pdf/5157/515751524008.pdf
Veri Madenciliği Yöntemleri ile Twitter Üzerinden Girişimcilik Analizi,"K Gazioğlu, ŞE Şeker",2017,NA,https://ybsansiklopedi.com/wp-content/uploads/2017/09/twitter_girisimcilik.pdf
Дослідження та аналіз інформації з соціальної мережі Twitter на основі технології Text Mining,ОЮ Кривець,2023,NA,http://dspace.nuft.edu.ua/jspui/bitstream/123456789/39103/1/122_Kryvets_Oleksandr_Yuriiovych_600_60395.pdf
An analysis of Twitter in the passing of his majesty king Bhumibol Adulyadej,"A Pudtal, S Sinthupinyo",2017,5,http://www.ijmlc.org/vol7/644-LC0047.pdf
Entity-centric Sentiment Analysis on Twitter data for the Portuguese Language,"M Souza, R Vieira",2013,3,https://repositorio.pucrs.br/dspace/bitstream/10923/14056/2/Entity_centric_Sentiment_Analysis_on_Twitter_data_for_the_Portuguese_Language.pdf
Penerapan Analisis Sentimen untuk Menilai Suatu Produk pada Twitter Berbahasa Indonesia dengan Metode Naïve Bayes Classifier dan Information Gain,"AW Attabi, L Muflikhah, MA Fauzi",2018,20,https://core.ac.uk/download/pdf/290398513.pdf
Analisis fungsi twitter sebagai media komunikasi transportasi publik,"MJ Loilatu, B Irawan, S Salahudin, IT Sihidi",2021,6,https://www.researchgate.net/profile/Mohammad-Jafar-Loilatu/publication/349162030_Analisis_Fungsi_Twitter_Sebagai_Media_Komunikasi_Transportasi_Publik/links/6024f8f9299bf1cc26b9e351/Analisis-Fungsi-Twitter-Sebagai-Media-Komunikasi-Transportasi-Publik.pdf
Analisis Sentimen Pada Twitter Menggunakan Naive Bayes Classifier Studi Kasus Pada Tokopedia,E Pujiastuti,2016,1,https://repository.nusamandiri.ac.id/repo/files/239759/download/Ringkasan-Tesis-Endang-Pujiastuti.pdf
Protótipo para mineração de opinião em redes sociais: estudo de casos selecionados usando o Twitter,LM Santos,2010,10,https://www.academia.edu/download/47145677/MONOGRAFIA_Prototipo_para_mineracao_de_opiniao_em_redes_sociais_estudo_de_casos_selecionados_usando_o_twitter.pdf
Analsis Sentimen Pengguna Twitter Terhadap Pemilihan Gubernur Dki Jakarta Dengan Metode Naïve Bayesian Classification Dan Support Vector Machine,EP Nuansa,2017,7,https://repository.its.ac.id/47741/7/1313100114-Undergraduate-Theses.pdf
SISTEM PENDETEKSI BERITA HOAX DI MEDIA SOSIAL DENGAN TEKNIK DATA MINING SCIKIT LEARN,"MU Munawar, YU Riadi",NA,1,https://digilib.esaunggul.ac.id/public/UEU-Journal-20004-11_1244.pdf
KLASIFIKASI OPINI MASYARAKAT TERHADAP OPERATOR SELULER MENGGUNAKAN TEXT MINING CLASSIFICATION PADA TWITTER,A Al Khairi,2021,4,https://www.academia.edu/download/94430121/386558341.pdf
Datamining in een veranderende wereld van opsporing en vervolging,S Brinkhoff,2017,34,https://repository.ubn.ru.nl/bitstream/handle/2066/180818/180818.pdf
Social media conversation monitoring: Visualize information contents of twitter messages using conversational metrics,JER Marquez,2016,40,https://repositorio.tec.mx/bitstream/handle/11285/630247/1-s2.0-S1877050916308602.pdf?sequence=1
"Penerapan Text Mining Untuk Visualisasi Fluktuasi Harga Komoditas Pangan (Studi Kasus Twitter, Liputan 6, Detik)","RB Luckyano, VR Hananto, V Nurcahyawati",NA,NA,https://www.researchgate.net/profile/Muhammad-Fauzi-6/publication/322959504_Analisis_Sentimen_Kurikulum_2013_Pada_Sosial_Media_Twitter_Menggunakan_Metode_K-Nearest_Neighbor_dan_Feature_Selection_Query_Expansion_Ranking/links/5a79c55545851541ce5e4e90/Analisis-Sentimen-Kurikulum-2013-Pada-Sosial-Media-Twitter-Menggunakan-Metode-K-Nearest-Neighbor-dan-Feature-Selection-Query-Expansion-Ranking.pdf
ANALISIS SENTIMEN PADA TWITTER MENGENAI NETFLIX DIBLOKIR TELKOM MENGGUNAKAN SUPPORT VECTOR MACHINE,R Wasono,2022,1,http://repository.unimus.ac.id/6097/1/Prosiding%20Nasional%20-%20Analisis%20Sentimen%20pada%20Twitter%20Mengenai%20Netflix%20Diblokir%20Telkom.pdf
Analisis Dan Penerapan Datamining Untuk Mendeteksi Berita Palsu (Fake News) Pada Social Media Dengan Memanfaatkan Modul Scikit Learn,"YR Silitonga, I Munawar, MC MMSI",2019,1,https://digilib.esaunggul.ac.id/public/UEU-Undergraduate-12192-JURNAL.Image.Marked.pdf
Data mining in tweets for analyzing dairy consumption in Brazil Mineração de dados em tweets para análise do consumo de lácteos no Brasil,"T da Silva Nogueira, ALF Monteiro, DH da Costa Silva…",NA,4,https://ainfo.cnptia.embrapa.br/digital/bitstream/doc/1149491/1/Mineracao-de-dados-em-tweets-para-analise-do-consumo-de-lacteos-no-Brasil.pdf
Análise de Padroes de Propagaçao no Twitter,"A Silva, F Mourao, L Simoes, N Mariano, W Meira Jr…",2010,2,http://www.dcc.ufmg.br/~arlei/pubs/sbbd10.pdf
Analisis Konten Jejaring Sosial Twitter dalam Kasus Pemilihan Gubernur DKI 2017,"M Habibi, KJA Yani",2018,1,https://www.researchgate.net/profile/Muhammad-Habibi/publication/331979531_ANALISIS_KONTEN_JEJARING_SOSIAL_TWITTER_DALAM_KASUS_PEMILIHAN_GUBERNUR_DKI_2017/links/5c98605c299bf11169456d6c/ANALISIS-KONTEN-JEJARING-SOSIAL-TWITTER-DALAM-KASUS-PEMILIHAN-GUBERNUR-DKI-2017.pdf
Prediksi Sentimen Investor Pasar Modal Di Jejaring Sosial Menggunakan Text Mining,"A Mahani, H Margono",2021,4,https://pdfs.semanticscholar.org/f81e/c73e0e548ee047a9b39d7d608cf164de801b.pdf
Mineração de Dados em Redes Sociais,"LS Oliveira, GO Campos, RS da Silva",2012,1,https://www.academia.edu/download/49914312/2012_-_Oliveira__Campos__Smarzaro_-_Mineracao_de_Dados_em_Redes_Sociais.pdf
Deportes y Data Mining,P Univaso,NA,NA,https://www.researchgate.net/profile/Pedro-Univaso/publication/338215151_Deportes_y_Data_Mining/links/5e07a519299bf10bc380c6b7/Deportes-y-Data-Mining.pdf
academictwitteR: an R package to access the Twitter Academic Research Product Track v2 API endpoint,"C Barrie, JC Ho",2021,72,https://joss.theoj.org/papers/10.21105/joss.03272.pdf
Big social data approaches in Internet studies: The case of Twitter,A Bruns,2020,27,https://eprints.qut.edu.au/119637/14/33307458.pdf
RT@ IWantPrivacy: Widespread violation of privacy settings in the Twitter social network,"B Meeder, J Tam, PG Kelley, LF Cranor",2010,106,http://www.cs.cmu.edu/~./bmeeder/papers/Meeder-SNSP2010.pdf
Data crawling otomatis pada twitter,"JE Sembodo, EB Setiawan…",2016,77,https://www.researchgate.net/profile/Erwin-Setiawan-3/publication/308815966_Data_Crawling_Otomatis_pada_Twitter/links/5bb5832392851ca9ed37a37e/Data-Crawling-Otomatis-pada-Twitter.pdf
How much data do you need? Twitter decahose data analysis,"Q Li, S Shah, M Thomas, K Anderson, X Liu…",2016,6,http://sbp-brims.org/2016/proceedings/LB_118.pdf
The edinburgh twitter corpus,"S Petrović, M Osborne, V Lavrenko",2010,219,https://aclanthology.org/W10-0513.pdf
Using Twitter data in research: Guidance for researchers and ethics reviewers,N Gold,2020,12,https://www.ucl.ac.uk/data-protection/sites/data-protection/files/using-twitter-research-v1.0.pdf
Klasifikasi Data Twitter Pelanggan Berdasarkan Kategori myTelkomsel Menggunakan Metode Support Vector Machine (SVM),"S Prayoginingsih, RP Kusumawardani",2018,15,https://www.researchgate.net/profile/Renny-Pradina/publication/323358795_Klasifikasi_Data_Twitter_Pelanggan_Berdasarkan_Kategori_myTelkomsel_Menggunakan_Metode_Support_Vector_Machine_SVM/links/5b50eeff45851507a7b1ef2e/Klasifikasi-Data-Twitter-Pelanggan-Berdasarkan-Kategori-myTelkomsel-Menggunakan-Metode-Support-Vector-Machine-SVM.pdf
Weaponizing data science for social engineering: Automated E2E spear phishing on Twitter,"J Seymour, P Tully",2016,96,https://tutorial.evogtechteam.com/wp-content/uploads/2017/03/us-16-Seymour-Tully-Weaponizing-Data-Science-For-Social-Engineering-Automated-E2E-Spear-Phishing-On-Twitter-wp.pdf
Arabizi identification in twitter data,T Tobaili,2016,18,https://aclanthology.org/P16-3008.pdf
Twitter catches the flu: detecting influenza epidemics using Twitter,"E Aramaki, S Maskawa, M Morita",2011,873,https://aclanthology.org/D11-1145.pdf
Bot-hunter: a tiered approach to detecting & characterizing automated activity on twitter,"DM Beskow, KM Carley",2018,79,http://www.casos.cs.cmu.edu/publications/papers/LB_5.pdf
Comparison of Twitter APIs and tools for analysing Tweets related to the Ebola Virus Disease,"W Ahmed, PA Bath",2015,7,https://www.researchgate.net/profile/Albert-Bifet/publication/221612654_MOA-TweetReader_Real-Time_Analysis_in_Twitter_Streaming_Data/links/53e5834a0cf21cc29fd0601e/MOA-TweetReader-Real-Time-Analysis-in-Twitter-Streaming-Data.pdf
A German Twitter Snapshot.,T Scheffler,2014,66,http://www.lrec-conf.org/proceedings/lrec2014/pdf/1146_Paper.pdf
Mecodify: a tool for big data analysis & visualization with twitter as a case study,W Al-Saqaf,2016,16,http://www.mecodem.eu/wp-content/uploads/2018/09/Al-Saqaf-2016_Mecodify_-A-tool-for-big-data-analysis-and-visualisation-with-Twitter-as-a-case-study.pdf
What do we get from Twitter—and what not? a close look at Twitter research in the social sciences,K Weller,2014,15,https://www.ssoar.info/ssoar/bitstream/handle/document/47768/ssoar-knoworg-2014-3-weller-What_do_we_get_from.pdf?sequence=1
Twitter Sentimental Analysis for Predicting Election Result using LSTM Neural Network,"D Gaikar, G Sapare, A Vishwakarma, A Parkar",2019,2,https://www.academia.edu/download/59869533/IRJET-V6I478020190626-22189-11b457b.pdf
ThingSpeak–an API and Web Service for the Internet of Things,"MAG Maureira, D Oldenhof, L Teernstra",2011,128,https://staas.home.xs4all.nl/t/swtr/documents/wt2014_thingspeak.pdf
Tweet-cat: a tool for building twitter corpora of smaller languages,"N Ljubešic, D Fišer, T Erjavec",2014,52,http://nlp.ffzg.hr/data/publications/nljubesi/ljubesic14-tweetcat.pdf
A Case Study of Collecting Dynamic Social Data: The Pro-Ana Twitter Community.,ID Wood,2015,3,http://ajiips.com.au/papers/V14.3/AJIIPS_vol14n3.pdf#page=17
Moving beyond counts: A method for surveying Twitter users,JP Alperin,2015,12,http://altmetrics.org/wp-content/uploads/2015/09/altmetrics15_paper_3.pdf
Unwrapping Camden's church tweeters: A small-scale thematic study of Twitter data,AP Cooper,2014,5,https://csmc.webspace.durham.ac.uk/wp-content/uploads/sites/144/2021/04/CooperAP_2014_UnwrappingCamdensChurchTweeters.pdf
Analyzing political communication with digital trace data,A Jungherr,2015,232,https://ucl.scienceopen.com/document_file/98f50414-63f9-4cf4-ba2f-d81fc2d2adc3/ScienceOpen/126_Wu_EVA21.pdf
Invisible War: An audio-visual installation with laser light and Twitter API data,"Z Wu, S Xu, Y Wang",2021,33,http://www.inass.org/2020/2020022927.pdf
Twitter Information Representation Using Resource Description Framework,"AS Hadi, EM Abdulshaheed",2019,67,https://aclanthology.org/N16-1122.pdf
Geolocation for twitter: Timing matters,"M Dredze, M Osborne, P Kambadur",2016,184,https://demtech.oii.ox.ac.uk/wp-content/uploads/sites/12/2017/03/What-Were-Michigan-Voters-Sharing-Over-Twitter-v2.pdf
Junk news and bots during the US election: What were Michigan voters sharing over Twitter,"PN Howard, G Bolsover, B Kollanyi…",2017,36,https://www.acs.org.au/content/dam/acs/50-years/journals/crpit/Vol146.pdf#page=55
Extracting Reliable Twitter Data for Flood Risk Communication using Manual Assessment and Google Vision API from Text and Images,"X Liu, B Kar, FAM Ishino, C Zhang, F Williams",2020,16,https://www.researchgate.net/profile/Xiaohui-Liu-21/publication/343813393_Extracting_Reliable_Twitter_Data_for_Flood_Risk_Communication_using_Manual_Assessment_and_2_Google_Vision_API_from_Text_and_Images_3/links/5f41409a92851cd302174c79/Extracting-Reliable-Twitter-Data-for-Flood-Risk-Communication-using-Manual-Assessment-and-2-Google-Vision-API-from-Text-and-Images-3.pdf
"Big data, collection of (social media, harvesting)","H Liang, JJH Zhu",2017,2,https://www.researchgate.net/profile/Hai-Liang/publication/320929016_Big_Data_Collection_of_Social_Media_Harvesting/links/5a25fef80f7e9b71dd09db5d/Big-Data-Collection-of-Social-Media-Harvesting.pdf
JavaScript programming for Twitter API 1.1,A Green,2013,46,http://140dev.com/download/javascript_ebook.pdf
Algorithmic trading of cryptocurrency based on Twitter sentiment analysis,"S Colianni, S Rosales, M Signorotti",2015,NA,http://cs229.stanford.edu/proj2015/029_report.pdf
Vulnerability Exploits Advertised on Twitter,"MT Arafin, R Royster",2013,3,http://www.umiacs.umd.edu/~tdumitra/courses/ENEE759D/Fall13/project_reports/twitter.pdf
"How consistent are altmetrics providers? Study of 1000 PLOS ONE publications using the PLOS ALM, Mendeley and Altmetric. com APIs","Z Zahedi, M Fenner, R Costas",2014,48,http://pfigshare-u-files.s3.amazonaws.com/1945874/How_consistent_are_altmetrics_providers5.pdf
Big data analysis: Apache storm perspective,"MH Iqbal, TR Soomro",2015,204,https://www.academia.edu/download/45378809/Big_Data_Analysis_Apache_Storm_Perspecti20160505-49798-196bzrp.pdf
Witness identification in twitter,"R Fang, A Nourbakhsh, X Liu, S Shah…",2016,26,https://aclanthology.org/W16-6210.pdf
